DOCUMENTO,ORGANIZACION,FECHA,TIPOFACTURA,PRODUCTO,CANTIDAD,PRECIO,IMPORTEMONTRANSACCION,MONEDA
A-0004-00000006,Galardon S.A.,12/4/21,Factura,Modem Router,20000,1890,37800000,Pesos Argentinos
A-0004-00000006,Galardon S.A.,12/4/21,Factura,Parlantes para PC,30000,1000,30000000,Pesos Argentinos
B-0004-00000003,Valeria Welponer,5/4/21,Factura,Impresora Multifuncion ,50000,9000,450000000,Pesos Argentinos
B-0004-00000003,Valeria Welponer,5/4/21,Factura,Mouse,50000,2479,123966900,Pesos Argentinos
A-0001-00000247,Donadelli S.R.L,17/3/21,Factura,Cable RGB para video,10000,150000,1500000000,Pesos Argentinos
A-0001-00000246,Amazon Group,17/3/21,Factura,Consultoría,10000,5000,50000000,Pesos Argentinos
B-0001-00000105,Etigand S.A.,9/3/21,Factura,Materia Prima Importada,10000,15000,150000000,Pesos Argentinos
A-0001-00000245,Galardon S.A.,27/2/21,Factura,Monitor LED,40000,45000,1800000000,Pesos Argentinos
A-0001-00000245,Galardon S.A.,27/2/21,Factura,Parlantes para PC,40000,3500,140000000,Pesos Argentinos
A-0001-00000245,Galardon S.A.,27/2/21,Factura,Cable RGB para video,20000,2000,40000000,Pesos Argentinos
A-0001-00000244,Algorte S.A.,15/2/21,Factura,Cable RGB para video,70000,2000,140000000,Pesos Argentinos
A-0001-00000243,Berker S.R.L,22/1/21,Factura,Mouse,50000,900,45000000,Pesos Argentinos
A-0001-00000242,Algorte S.A.,5/1/21,Factura,Monitor LED,50000,40000,2000000000,Pesos Argentinos
B-0003-00000001,Valeria Welponer,28/12/20,Factura,Teclado,20000,53719,1074380200,Pesos Argentinos
A-0003-00000001,Manganello S.R.L,23/11/20,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,20000,110000,2200000000,Pesos Argentinos
B-0004-00000002,Horacio Aguirre,28/10/20,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,10000,49587,495867800,Pesos Argentinos
A-0001-00000241,Amazon Group,30/9/20,Factura,Consultoría,10000,5000,50000000,Pesos Argentinos
C-0001-00000001,Algorte S.A.,30/9/20,Factura,Cable RGB para video,10000,150,1500000,Pesos Argentinos
B-0001-00000104,Consumidor Final,17/4/20,Factura,Cable RGB para video,100000,124,12396700,Pesos Argentinos
A-0001-00000240,Nicolasen y Asociados S.A.,27/3/20,Factura,Consultoria Digital,120000,7400,888000000,Pesos Argentinos
A-0001-00000239,Manganello S.R.L,20/3/20,Factura,PC,80000,49505,3960400000,Pesos Argentinos
A-0001-00000238,Nicolasen y Asociados S.A.,17/3/20,Factura,Monitores,150000,7850,1177500000,Pesos Argentinos
A-0001-00000237,Horizonte S.A.,3/3/20,Factura,Insumos oficina,100000,7252,725230000,Pesos Argentinos
A-0001-00000236,Manganello S.R.L,29/2/20,Factura,Consultoria Web,100000,5890,589000000,Pesos Argentinos
A-0001-00000235,Ignition S.A.C.I,13/2/20,Factura,Insumos oficina,250000,6100,1525000000,Pesos Argentinos
A-0001-00000234,Horizonte S.A.,6/2/20,Factura,Mercaderia de Reventa,300000,15230,4569000000,Pesos Argentinos
B-0001-00000103,Horacio Aguirre,17/1/20,Factura,Consultoria Digital,100000,6300,630000000,Pesos Argentinos
A-0001-00000233,Hernandez S.A.,8/1/20,Factura,Mercaderia de Reventa,450000,10500,4725000000,Pesos Argentinos
A-0001-00000232,Campomas S.A.,3/1/20,Factura,Teclado,300000,3330,999000000,Pesos Argentinos
B-0001-00000102,Etigand S.A.,27/12/19,Factura,Consultoria Web,500000,5785,2892562000,Pesos Argentinos
B-0001-00000101,Javier Moroni,21/12/19,Factura,Honorarios,10000,99587,995867800,Pesos Argentinos
A-0001-00000231,Amazon Group,10/12/19,Factura,Parlantes para PC,300000,1990,597000000,Pesos Argentinos
A-0001-00000230,Amazon Group,6/12/19,Factura,Mercaderia de Reventa,300000,10358,3107400000,Pesos Argentinos
A-0001-00000001,Juan Fernández,1/12/19,Factura de Crédito Mipyme,Productos Terminados,10000,1000,10000000,Pesos Argentinos
A-0001-00000229,Manganello S.R.L,20/11/19,Factura,Consultoria Digital,500000,6300,3150000000,Pesos Argentinos
A-0001-00000228,Galardon S.A.,17/11/19,Factura,Impresora Multifuncion ,230000,10209,2348070000,Pesos Argentinos
A-0001-00000227,Klarkson,2/11/19,Factura,Cable RGB para video,600000,1031,618300000,Pesos Argentinos
A-0001-00000226,Juan Fernández,15/10/19,Factura,Mercaderia de Reventa,300000,12354,3706200000,Pesos Argentinos
A-0001-00000225,Horizonte S.A.,2/10/19,Factura,Insumos oficina,300000,7785,2335500000,Pesos Argentinos
A-0001-00000224,Amazon Group,30/9/19,Factura,Servicios Profesionales,10000,6700,67000000,Pesos Argentinos
A-0001-00000223,Manganello S.R.L,22/9/19,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,60000,40600,2436000000,Pesos Argentinos
A-0001-00000222,Juan Fernández,15/9/19,Factura,Productos Terminados,100000,8889,888850000,Pesos Argentinos
A-0001-00000221,Nicolasen y Asociados S.A.,10/9/19,Factura,Servicios Profesionales,10000,98900,989000000,Pesos Argentinos
A-0001-00000220,Hernandez S.A.,2/9/19,Factura,Publicidad y Marketing,10000,105060,1050600000,Pesos Argentinos
A-0001-00000219,Juan Fernández,20/8/19,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,80000,32999,2639920000,Pesos Argentinos
A-0001-00000218,Campomas S.A.,13/8/19,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,10000,40522,405220000,Pesos Argentinos
A-0001-00000218,Campomas S.A.,13/8/19,Factura,Consultoria Digital,10000,6300,63000000,Pesos Argentinos
B-0001-00000100,Ferrari Hnos S.A.,7/8/19,Factura,Productos Terminados,500000,4132,2066115700,Pesos Argentinos
A-0001-00000217,Jameson SRL,17/7/19,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,120000,27500,3300000000,Pesos Argentinos
A-0001-00000216,Manganello S.R.L,14/7/19,Factura,Monitor LED,120000,7880,945600000,Pesos Argentinos
A-0001-00000215,Campomas S.A.,9/7/19,Factura,Productos Terminados,150000,7850,1177500000,Pesos Argentinos
B-0001-00000099,Javier Moroni,1/7/19,Factura,Consultoria Digital,10000,6300,63000000,Pesos Argentinos
A-0001-00000214,Berker S.R.L,28/6/19,Factura,Insumos oficina,100000,3500,350000000,Pesos Argentinos
A-0001-00000213,Ignition S.A.C.I,25/6/19,Factura,Teclado,100000,1000,100000000,Pesos Argentinos
A-0001-00000212,Hernandez S.A.,18/6/19,Factura,Monitor LED,70000,22250,1557500000,Pesos Argentinos
A-0001-00000211,Manganello S.R.L,16/6/19,Factura,Consultoría,10000,80100,801000000,Pesos Argentinos
B-0001-00000098,Javier Moroni,11/6/19,Factura,Servicios Profesionales,10000,60633,606334800,Pesos Argentinos
A-0001-00000210,Nicolasen y Asociados S.A.,7/6/19,Factura,Parlantes para PC,150000,2250,337500000,Pesos Argentinos
B-0001-00000097,Valeria Welponer,3/6/19,Factura,Monitor LED,30000,33471,1004132200,Pesos Argentinos
A-0001-00000209,Campomas S.A.,20/5/19,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,100000,30589,3058900000,Pesos Argentinos
B-0001-00000096,Ferrari Hnos S.A.,13/5/19,Factura,Mouse,350000,900,315000000,Pesos Argentinos
A-0001-00000208,Galardon S.A.,10/5/19,Factura,Servicios Profesionales,10000,73800,738000000,Pesos Argentinos
B-0001-00000095,Juan Lopez,10/5/19,Factura,Publicidad y Marketing,10000,16653,166528900,Pesos Argentinos
A-0001-00000207,Nicolasen y Asociados S.A.,5/5/19,Factura,Consultoria Digital,100000,6300,630000000,Pesos Argentinos
A-0001-00000206,Hernandez S.A.,28/4/19,Factura,Productos Terminados,100000,2085,208500000,Pesos Argentinos
A-0001-00000205,Campomas S.A.,27/4/19,Factura,Consultoria Web,10000,40000,400000000,Pesos Argentinos
A-0001-00000204,Jameson SRL,22/4/19,Factura,Insumos oficina,100000,2300,230000000,Pesos Argentinos
A-0001-00000203,Berker S.R.L,18/4/19,Factura,Mercaderia de Reventa,300000,2700,810000000,Pesos Argentinos
A-0001-00000203,Berker S.R.L,18/4/19,Factura,Insumos oficina,150000,1000,150000000,Pesos Argentinos
A-0001-00000203,Berker S.R.L,18/4/19,Factura,Teclado,200000,560,112000000,Pesos Argentinos
B-0001-00000094,Javier Moroni,15/4/19,Factura,Servicios Profesionales,10000,63801,638009100,Pesos Argentinos
A-0001-00000202,Nicolasen y Asociados S.A.,12/4/19,Factura,Mercaderia de Reventa,250000,2059,514750000,Pesos Argentinos
B-0001-00000093,Juan Lopez,8/4/19,Factura,Insumos oficina,70000,1074,75206600,Pesos Argentinos
A-0001-00000201,Manganello S.R.L,3/4/19,Factura,Honorarios,10000,55000,550000000,Pesos Argentinos
A-0001-00000200,Horizonte S.A.,27/3/19,Factura,Diseño Web,10000,60985,609850000,Pesos Argentinos
A-0001-00000199,Amazon Group,21/3/19,Factura,Servicios Profesionales,10000,30000,300000000,Pesos Argentinos
A-0001-00000198,Campomas S.A.,16/3/19,Factura,Consultoria Web,200000,5890,1178000000,Pesos Argentinos
A-0001-00000197,Hernandez S.A.,14/3/19,Factura,Mercaderia de Reventa,200000,705,141000000,Pesos Argentinos
A-0001-00000196,Klarkson,11/3/19,Factura,Insumos oficina,380000,980,372400000,Pesos Argentinos
A-0001-00000195,Nicolasen y Asociados S.A.,9/3/19,Factura,Publicidad y Marketing,10000,7400,74000000,Pesos Argentinos
B-0001-00000092,Etigand S.A.,8/3/19,Factura,Publicidad y Marketing,100000,9587,958719000,Pesos Argentinos
B-0001-00000091,Javier Moroni,8/3/19,Factura,Teclado,480000,560,268800000,Pesos Argentinos
A-0001-00000194,Horizonte S.A.,28/2/19,Factura,Honorarios,10000,150000,1500000000,Pesos Argentinos
A-0001-00000193,Donadelli S.R.L,27/2/19,Factura,Diseño Web,10000,73210,732100000,Pesos Argentinos
A-0001-00000192,Manganello S.R.L,24/2/19,Factura,Servicios Profesionales,10000,105500,1055000000,Pesos Argentinos
B-0001-00000090,Javier Moroni,23/2/19,Factura,Cable RGB para video,150000,1160,173925600,Pesos Argentinos
A-0001-00000191,Hernandez S.A.,14/2/19,Factura,Insumos oficina,220000,205,45100000,Pesos Argentinos
A-0001-00000189,Nicolasen y Asociados S.A.,8/2/19,Factura,Mercaderia de Reventa,300000,1800,540000000,Pesos Argentinos
A-0001-00000190,Klarkson,8/2/19,Factura,Parlantes para PC,50000,1685,84250000,Pesos Argentinos
A-0001-00000188,Jameson SRL,23/1/19,Factura,Mercaderia de Reventa,200000,6997,1399400000,Pesos Argentinos
A-0001-00000187,Hernandez S.A.,21/1/19,Factura,Monitor LED,50000,13599,679950000,Pesos Argentinos
A-0001-00000186,Manganello S.R.L,14/1/19,Factura,Servicios Profesionales,10000,50000,500000000,Pesos Argentinos
A-0001-00000185,Jameson SRL,11/1/19,Factura,Intereses por Mora,10000,694,6939900,Pesos Argentinos
A-0001-00000183,Klarkson,3/1/19,Factura,Diseño Web,10000,14950,149500000,Pesos Argentinos
A-0001-00000182,Amazon Group,23/12/18,Factura,Diseño Web,10000,65800,658000000,Pesos Argentinos
A-0001-00000182,Amazon Group,23/12/18,Factura,Publicidad y Marketing,10000,31500,315000000,Pesos Argentinos
A-0001-00000182,Amazon Group,23/12/18,Factura,Insumos oficina,10000,3500,35000000,Pesos Argentinos
A-0001-00000181,Nicolasen y Asociados S.A.,18/12/18,Factura,Servicios Profesionales,10000,30500,305000000,Pesos Argentinos
A-0001-00000180,Manganello S.R.L,14/12/18,Factura,Publicidad y Marketing,10000,56250,562500000,Pesos Argentinos
A-0001-00000180,Manganello S.R.L,14/12/18,Factura,Parlantes para PC,20000,1500,30000000,Pesos Argentinos
A-0001-00000179,Jameson SRL,4/12/18,Factura,Honorarios,10000,165980,1659800000,Pesos Argentinos
B-0001-00000089,Javier Moroni,20/11/18,Factura,Cable RGB para video,200000,107,21487600,Pesos Argentinos
A-0001-00000178,Nicolasen y Asociados S.A.,16/11/18,Factura,Mercadería,180000,9150,1647000000,Pesos Argentinos
A-0001-00000177,Amazon Group,8/11/18,Factura,Publicidad y Marketing,20000,80050,1601000000,Pesos Argentinos
A-0001-00000177,Amazon Group,8/11/18,Factura,Consultoria Digital,10000,6300,63000000,Pesos Argentinos
A-0001-00000177,Amazon Group,8/11/18,Factura,Modem Router,120000,473,56760000,Pesos Argentinos
A-0001-00000176,Hernandez S.A.,5/11/18,Factura,Honorarios,10000,42300,423000000,Pesos Argentinos
B-0001-00000088,Horacio Aguirre,31/10/18,Factura,Consultoría,10000,5000,50000000,Pesos Argentinos
A-0001-00000175,Hernandez S.A.,31/10/18,Factura,Honorarios,10000,2500,25000000,Pesos Argentinos
A-0001-00000174,Ignition S.A.C.I,25/10/18,Factura,Servicios Profesionales,10000,70000,700000000,Pesos Argentinos
A-0001-00000174,Ignition S.A.C.I,25/10/18,Factura,Consultoria Digital,10000,6300,63000000,Pesos Argentinos
A-0001-00000173,Klarkson,22/10/18,Factura,Publicidad y Marketing,10000,2000,20000000,Dólares
B-0001-00000087,Rodrigo Vidal,18/10/18,Factura,Monitor OLED,30000,3702,111074400,Pesos Argentinos
B-0001-00000087,Rodrigo Vidal,18/10/18,Factura,Cable RGB para video,50000,413,20661200,Pesos Argentinos
B-0001-00000087,Rodrigo Vidal,18/10/18,Factura,Parlantes para PC,20000,1000,20000000,Pesos Argentinos
A-0001-00000172,Manganello S.R.L,15/10/18,Factura,Televisor Led Samsung 32  Hd Con Soporte Y Control,200000,5587,1117400000,Pesos Argentinos
A-0001-00000171,Ignition S.A.C.I,11/10/18,Factura,Servicios Profesionales,10000,68500,685000000,Pesos Argentinos
A-0001-00000170,Amazon Group,5/10/18,Factura,Honorarios,10000,50550,505500000,Pesos Argentinos
A-0001-00000170,Amazon Group,5/10/18,Factura,Publicidad y Marketing,30000,7400,222000000,Pesos Argentinos
B-0001-00000086,Valeria Welponer,3/10/18,Factura,Impresora Multifuncion ,10000,4300,43000000,Pesos Argentinos
B-0001-00000086,Valeria Welponer,3/10/18,Factura,Insumos oficina,10000,124,1239700,Pesos Argentinos
A-0001-00000002,Berker S.R.L,3/10/18,Nota de Crédito,Publicidad y Marketing,100000,7400,740000000,Pesos Argentinos
A-0001-00000169,Nicolasen y Asociados S.A.,1/10/18,Factura,Consultoria Digital,10000,6300,63000000,Pesos Argentinos
A-0001-00000001,Amazon Group,1/10/18,Nota de Crédito,Consultoría,10000,43000,430000000,Pesos Argentinos
A-0001-00000168,Amazon Group,25/9/18,Factura,Consultoría,10000,43000,430000000,Pesos Argentinos
A-0001-00000167,Klarkson,21/9/18,Factura,Servicios Profesionales,10000,89500,895000000,Pesos Argentinos
A-0001-00000166,Berker S.R.L,10/9/18,Factura,Publicidad y Marketing,100000,7400,740000000,Pesos Argentinos
A-0001-00000165,Campomas S.A.,9/9/18,Factura,Consultoría,10000,20000,200000000,Pesos Argentinos
A-0001-00000164,Hernandez S.A.,6/9/18,Factura,Materia Prima Importada,10000,20000,200000000,Pesos Argentinos
B-0001-00000085,Rodrigo Vidal,6/9/18,Factura,Impresora Multifuncion ,10000,4300,43000000,Pesos Argentinos
B-0001-00000085,Rodrigo Vidal,6/9/18,Factura,Parlantes para PC,10000,1000,10000000,Pesos Argentinos
B-0001-00000085,Rodrigo Vidal,6/9/18,Factura,Modem Router,10000,579,5785100,Pesos Argentinos
A-0001-00000001,Jameson SRL,5/9/18,Nota de Débito,Intereses por Mora,10000,700,7000000,Pesos Argentinos
A-0001-00000163,Galardon S.A.,1/9/18,Factura,Consultoria Web,10000,5890,58900000,Pesos Argentinos
A-0001-00000162,Jameson SRL,31/8/18,Factura,Intereses por Mora,10000,28500,285000000,Pesos Argentinos
A-0001-00000161,Nicolasen y Asociados S.A.,30/8/18,Factura,Publicidad y Marketing,10000,24600,246000000,Pesos Argentinos
B-0001-00000084,Etigand S.A.,29/8/18,Factura,Consultoria Digital,10000,73141,731405000,Pesos Argentinos
A-0001-00000160,Donadelli S.R.L,26/8/18,Factura,Publicidad y Marketing,10000,26000,260000000,Pesos Argentinos
B-0001-00000083,Javier Moroni,21/8/18,Factura,Honorarios,10000,20661,206611600,Pesos Argentinos
A-0001-00000159,Hernandez S.A.,14/8/18,Factura,Consultoria Digital,10000,42000,420000000,Pesos Argentinos
A-0001-00000158,Manganello S.R.L,8/8/18,Factura,Impresora Multifuncion ,50000,2500,125000000,Pesos Argentinos
A-0001-00000157,Nicolasen y Asociados S.A.,4/8/18,Factura,PC,70000,8500,595000000,Pesos Argentinos
B-0001-00000082,Javier Moroni,1/8/18,Factura,Publicidad y Marketing,10000,37190,371900800,Pesos Argentinos
A-0001-00000156,Nicolasen y Asociados S.A.,28/7/18,Factura,Publicidad y Marketing,10000,45000,450000000,Pesos Argentinos
B-0001-00000081,Etigand S.A.,20/7/18,Factura,Consultoria Digital,10000,24380,243801700,Pesos Argentinos
A-0001-00000155,Donadelli S.R.L,14/7/18,Factura,Publicidad y Marketing,10000,75000,750000000,Pesos Argentinos
B-0001-00000080,Javier Moroni,12/7/18,Factura,Honorarios,10000,31405,314049600,Pesos Argentinos
A-0001-00000154,Hernandez S.A.,8/7/18,Factura,Consultoria Digital,10000,35000,350000000,Pesos Argentinos
A-0001-00000153,Manganello S.R.L,5/7/18,Factura,Impresora Multifuncion ,50000,2400,120000000,Pesos Argentinos
A-0001-00000152,Nicolasen y Asociados S.A.,3/7/18,Factura,PC,100000,8500,850000000,Pesos Argentinos
B-0001-00000079,Javier Moroni,1/7/18,Factura,Publicidad y Marketing,10000,23141,231405000,Pesos Argentinos
A-0001-00000147,Manganello S.R.L,30/6/18,Factura,Publicidad y Marketing,10000,35000,350000000,Pesos Argentinos
B-0001-00000078,Javier Moroni,30/6/18,Factura,PC,10000,26446,264462800,Pesos Argentinos
A-0001-00000151,Nicolasen y Asociados S.A.,30/6/18,Factura,Impresora Multifuncion ,60000,4200,252000000,Pesos Argentinos
A-0001-00000147,Manganello S.R.L,30/6/18,Factura,Consultoria Digital,10000,25000,250000000,Pesos Argentinos
A-0001-00000150,Manganello S.R.L,30/6/18,Factura,Honorarios,10000,24000,240000000,Pesos Argentinos
A-0001-00000149,Manganello S.R.L,30/6/18,Factura,Publicidad y Marketing,10000,18500,185000000,Pesos Argentinos
A-0001-00000148,Hernandez S.A.,30/6/18,Factura,Consultoría,10000,18000,180000000,Pesos Argentinos
B-0001-00000077,Javier Moroni,28/6/18,Factura,Parlantes para PC,60000,1000,60000000,Pesos Argentinos
A-0001-00000146,Donadelli S.R.L,26/6/18,Factura,Consultoría,10000,15000,150000000,Pesos Argentinos
B-0001-00000076,Etigand S.A.,25/6/18,Factura,Diseño Web,10000,12397,123966900,Pesos Argentinos
A-0001-00000145,Galardon S.A.,19/6/18,Factura,PC,50000,12000,600000000,Pesos Argentinos
A-0001-00000144,Donadelli S.R.L,8/6/18,Factura,Consultoria Web,10000,15000,150000000,Pesos Argentinos
B-0001-00000075,Javier Moroni,1/6/18,Factura,Diseño Web,10000,13223,132231400,Pesos Argentinos
A-0001-00000143,Horizonte S.A.,18/5/18,Factura,PC,40000,600,24000000,Dólares
A-0001-00000142,Nicolasen y Asociados S.A.,12/5/18,Factura,Monitores,100000,16000,1600000000,Pesos Argentinos
A-0001-00000142,Nicolasen y Asociados S.A.,12/5/18,Factura,Publicidad y Marketing,10000,17500,175000000,Pesos Argentinos
A-0001-00000142,Nicolasen y Asociados S.A.,12/5/18,Factura,Consultoria Digital,10000,15000,150000000,Pesos Argentinos
A-0001-00000141,Ignition S.A.C.I,8/5/18,Factura,Diseño Web,10000,18000,180000000,Pesos Argentinos
B-0001-00000074,Ferrari Hnos S.A.,4/5/18,Factura,Publicidad y Marketing,10000,20661,206611600,Pesos Argentinos
A-0001-00000140,Berker S.R.L,1/5/18,Factura,Consultoría,10000,15000,150000000,Pesos Argentinos
A-0001-00000139,Galardon S.A.,30/4/18,Factura,Impresora Multifuncion ,90000,1800,162000000,Pesos Argentinos
B-0001-00000073,Javier Moroni,30/4/18,Factura,Publicidad y Marketing,10000,11570,115702500,Pesos Argentinos
B-0001-00000072,Etigand S.A.,29/4/18,Factura,Consultoria Web,10000,100000,1000000000,Pesos Argentinos
A-0001-00000138,Galardon S.A.,17/4/18,Factura,Diseño Web,10000,19000,190000000,Pesos Argentinos
A-0001-00000137,Horizonte S.A.,10/4/18,Factura,Consultoria Web,10000,12500,125000000,Pesos Argentinos
A-0001-00000136,Hernandez S.A.,2/4/18,Factura,Honorarios,10000,58000,580000000,Pesos Argentinos
A-0001-00000135,Nicolasen y Asociados S.A.,31/3/18,Factura,Consultoria Digital,10000,15000,150000000,Pesos Argentinos
B-0001-00000071,Javier Moroni,14/3/18,Factura,Publicidad y Marketing,10000,53719,537190100,Pesos Argentinos
A-0001-00000134,Galardon S.A.,8/3/18,Factura,Honorarios,10000,65000,650000000,Pesos Argentinos
A-0001-00000133,Donadelli S.R.L,1/3/18,Factura,Publicidad y Marketing,10000,65000,650000000,Pesos Argentinos
